"year","month","avePrice"
"2016","01",19.3357478878648
"2016","02",15.3874846059113
"2016","03",16.9919928859835
"2016","04",18.5575158730159
"2016","05",18.5013671274962
"2016","06",24.7516349206349
"2016","07",27.7781134792627
"2016","08",31.0134802227343
"2016","09",27.3086319444444
"2016","10",26.0513028033794
"2016","11",19.6934791666667
"2016","12",25.5656461213518
"2017","01",23.6213748079877
"2017","02",20.5551902636054
"2017","03",23.4501586233417
"2017","04",24.848251984127
"2017","05",26.1317818740399
"2017","06",29.1559632936508
"2017","07",32.0136443932412
"2017","08",28.1844124423963
"2017","09",25.1158541666667
"2017","10",24.7246111751152
"2017","11",23.4714702380952
"2017","12",21.674409562212
"2018","01",38.888295890937
"2018","02",22.2245471938776
"2018","03",23.1116256489137
"2018","04",23.7410347222222
"2018","05",36.2128398617511
"2018","06",32.5420525793651
"2018","07",81.1741513056836
"2018","08",32.0833784562212
"2018","09",27.3628888888889
"2018","10",30.5425537634409
"2018","11",31.2127698412698
"2018","12",30.8895046082949
"2019","01",25.2638344854071
"2019","02",21.7719345238095
"2019","03",28.3239665448952
"2019","04",23.0080009363296
"2019","05",24.3493996415771
"2019","06",25.6121324074074
"2019","07",29.9870304659498
"2019","08",126.67975
"2019","09",80.1047055555556
"2019","10",29.9817804659498
"2019","11",24.925437037037
"2019","12",19.6971182795699
